PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LD_TYPE|LOT_SIZE|ACRE
LD|70762114|M9500139|M26501|ACT|139900|Lot 38|DEER RUN||863||01077|U|1|5/15/2008 12:01:00 PM|1|A|71842|1.64
LD|70762115|M9500139|M26501|ACT|129900|Lot 47|LAUREN LANE||863||01077|U|1|5/15/2008 12:01:00 PM|1|A|40000|0.91
LD|70764359|C8002920|C95245|ACT|259000|7|Plum Hill||325||01944|N|4|8/16/2008 11:20:00 AM|15|A|123408|2.83
LD|70769694|BB980366|BB2435|ACT|950000|21|Fox Meadow Drive||32||02090|U|5|3/22/2011 12:01:00 PM|31|A|67259|1.54
LD|70769696|BB980366|BB2435|ACT|825000|19|Fox Meadow Drive||32||02090|U|5|3/22/2011 12:02:00 PM|31|A|362452|8.32
LD|70769697|BB980366|BB2435|ACT|1195000|17|Fox Meadow Drive||32||02090|U|5|3/22/2011 12:08:00 PM|31|A|123831|2.84
LD|70769699|BB980455|BB2435|ACT|895000|1|Fox Meadow Drive||32||02090|N|5|3/22/2011 5:09:00 PM|31|A|86072|1.97
LD|70769700|BB980455|BB2435|ACT|975000|8|Fox Meadow Drive||32||02090|U|5|3/22/2011 5:10:00 PM|31|A|62952|1.44
LD|70769702|BB980455|BB2435|ACT|950000|2|Fox Meadow Drive||32||02090|N|5|3/22/2011 5:11:00 PM|31|A|62952|1.44
LD|70769704|BB980455|BB2435|ACT|1195000|15|Fox Meadow Drive||32||02090|U|5|3/22/2011 5:07:00 PM|31|A|91569|2.1
LD|70769706|BB980366|BB2435|ACT|1145000|9|Fox Meadow Drive||32||02090|U|5|3/22/2011 12:03:00 PM|31|A|157310|3.61
LD|70769708|BB980366|BB2435|ACT|1195000|7|Fox Meadow Drive||32||02090|U|5|3/22/2011 12:06:00 PM|31|A|192670|4.42
LD|70769710|BB980366|BB2435|ACT|1195000|5|Fox Meadow Drive||32||02090|N|5|3/22/2011 12:06:00 PM|31|A|261793|6
LD|70770606|H6383848|H80006|ACT|97000|156|Haynes Rd||461||01469|U|1|6/2/2008 10:48:00 AM|1|A|216928|4.98
LD|70770994|BB802325|K01349|ACT|119900|260|Quaker Street||435||01588|U|0|9/9/2008 5:05:00 PM|0|A|113256|2.6
LD|70777468|TM006676|M80028|ACT|79900|Lot 14|Pelham Hill Road||502||01072|U|1|6/13/2008 2:44:00 PM|1|A|89734|2.06
LD|70779202|B0301268|B95197|ACT|749900|1-8|FOX RUN LANE||312||01904|N|5|8/18/2009 3:56:00 PM|31|A|127817|2.93
LD|70783017|E00000DM|E36401|ACT|55900|Lot 1|Mathews Road||521||01341|U|1|6/25/2008 10:58:00 AM|1|A|94002|2.15
LD|70785237|BB807993|BB0285|ACT|349900|1052|Pleasant St||67||02703|U|2|6/30/2008 1:54:00 PM|3|A|435600|10
LD|70787169|TM006676|M80028|ACT|49900|Lot A17|Sabin Street||867||01007|U|1|7/30/2008 1:10:00 PM|1|A|151280|3.47
LD|70787174|TM006676|M80028|ACT|49900|Lot C17|Sabin Street||867||01007|U|1|7/30/2008 1:14:00 PM|1|A|161686|3.71
LD|70787189|TM006676|M80028|ACT|49900|Lot D17|Sabin Street||867||01007|U|1|7/30/2008 1:21:00 PM|1|A|161172|3.7
LD|70787510|A9500738|A95340|ACT|899000|00|Third Street||160||02790|U|4|8/5/2008 10:17:00 AM|15|A|566280|13
LD|70789826|BB980630|BB5857|ACT|649900|101|Washington Street (Rte 1)||69||02762|U|3|7/10/2008 10:56:00 AM|7|C|134165|3.08
LD|70790275|BB980063|BB0125|ACT|169900|Lot 68B|Commonwealth Ave||68||02760|U|5|8/19/2008 3:50:00 PM|31|A|37000|0.84
LD|70790607|E0000DAM|E21001|ACT|400000|43|Baker Hill Road||530||01060|U|1|7/11/2008 1:19:00 PM|1|A|102969|2.36
LD|70793727|D9500190|AC1831|ACT|450000|Lot 8|Greystone Lane||375||01741|U|2|7/17/2008 4:38:00 PM|3|A|92250|2.11
LD|70793764|BB953815|NB4126|ACT|89900|97|Central||342||01951|N|2|7/19/2008 7:38:00 PM|3|A|68389|1.57
LD|70794882|BB903063|NB4646|EXT|625000|750 L|Concord St. Rt. 126||47||01746|U|3|8/10/2010 3:14:00 PM|7|C|178595|4.1
LD|70795252|A0000014|A19401|ACT|395000|13|Fishermans Cove Rd||117||02571|U|1|7/21/2008 4:21:00 PM|1|A|15232|0.35
LD|70796406|BB904765|BB4722|ACT|165000|468|Tremont Street||175||02769|U|4|10/21/2009 10:47:00 AM|15|A|1263240|29
LD|70796990|BB904765|BB4722|ACT|165000|464|Tremont Street||175||02769|U|4|10/21/2009 10:59:00 AM|15|A|517450|11.87
LD|70798803|E0000MCE|M70004|ACT|109900|0|Lower Rd||522||01342|N|2|7/29/2008 10:56:00 AM|3|A|71793|1.64
LD|70799023|FR000769|FR0218|ACT|775000|0|Mattapoisett Road||154||02743|N|2|7/31/2008 11:26:00 AM|3|A|1219680|28
LD|70802013|K8000294|K95398|ACT|139900|21|Fairbanks Street||410||01583|U|8|8/23/2008 4:24:00 PM|255|A|108900|2.5
LD|70804201|BB922649|BB5884|ACT|69900|Lot 6-6|Titus Hill Road||1044||03576|U|2|8/11/2008 1:13:00 PM|3|A|262231|6.02
LD|70804295|BB922649|BB5884|ACT|149900|0|Stearns Brook||1138||03588|U|1|8/11/2008 1:10:00 PM|1|A|2700720|62
LD|70808346|FR000128|FR0074|ACT|550000|1794-D|Drift Road||160||02790|U|5|11/4/2008 2:45:00 PM|31|A|132422|3.04
LD|70810503|J0000997|J61900|ACT|395000|1090|Southampton Road||862||01085|U|4|8/25/2008 12:43:00 PM|15|C|202180|4.64
