PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET
MF|71135047|BB985184|BB533|ACT|674900|24|Crescent C095/Multi007||1055||03038|N|1|9/10/2010 12:37:00 PM|2|P|7|2|26|6|10|18000|0.41|7422
MF|71136513|K8000517|AC1028|ACT|120800|220|Lancaster St.||454||01453|N|6|9/14/2010 3:40:00 PM|63|A|2|2|8|4|3|2193|0.05|0
MF|71137052|B0428891|B11101|ACT|234900|25-27|Webster Street||15|MAP|02148|N|1|9/14/2010 8:28:00 PM|1|G|2|2|9|0|4|6171|0.14|1918
MF|71137092|B0446085|B99271|ACT|589900|41|Jaques St||17||02145|N|15|9/15/2010 2:45:00 PM|32767|J|3|3|18|0|6|6000|0.14|4176
MF|71138170|D0002961|G95223|ACT|389900|77|Marlborough||372|HIG|01851|N|4|9/24/2010 8:04:00 PM|15|E|5|3|25|0|10|10284|0.24|4000
MF|71138317|BB812017|NB4976|ACT|250000|19|Central Ave||15||02148|N|1|9/16/2010 5:07:00 PM|1|A|2|2|13|0|0|5025|0.12|1872
MF|71138415|CT001820|BB9042|ACT|349900|14|Edson St||372|HIG|01851|N|20|9/16/2010 9:46:00 PM|1048575|A|2|3|13|2|6|6000|0.14|3637
MF|71140298|M0000193|M05901|ACT|159000|11|Gates St||865||01057|N|18|9/22/2010 12:59:00 PM|262143|G|2|2|8|0|4|10890|0.25|2216
MF|71141072|BB953815|NB4126|ACT|90000|13|High Street||352||01830|N|4|6/27/2011 6:43:00 PM|15|C|0|4|0|0|6|4225|0.1|9312
MF|71142390|M8000606|M95221|ACT|104000|7-9|Farnsworth Street||839|845|01107|N|1|9/25/2010 12:04:00 PM|1|A|2|2|10|2|4|3049|0.07|1900
MF|71142910|BB910706|BB5807|ACT|329900|30|Seventh St.||156|NCE|02740|N|5|9/27/2010 1:29:00 PM|31|Q|14|3|14|0|14|10600|0.24|6102
MF|71144095|BB810367|BB5884|ACT|95500|634|Burgess Street||1021||03570|N|12|9/29/2010 3:44:00 PM|4095|C|4|3|18|3|5|4791|0.11|4975
MF|71144322|FR000769|FR0218|ACT|279900|340|Hemlock St||157||02748|N|30|10/3/2010 5:36:00 PM|1073741823|G|2|2|14|0|0|3199|0.07|2184
MF|71144559|BB904891|BB6640|ACT|239900|242|Belmont Ave||185||02301|N|3|9/30/2010 4:14:00 PM|7|A|2|3|11|2|3|8276|0.19|2407
MF|71145219|BB800438|BB5126|ACT|123000|49|Erastus St||2010||02909|N|2|10/1/2010 1:52:00 PM|3|A|2|2|10|0|0|3179|0.07|2053
MF|71145321|FR001170|FR0126|ACT|329900|395|BELLEVILLE AVENUE||156||02746|N|2|10/1/2010 3:28:00 PM|3|B|4|4|16|0|3|3080|0.07|4741
MF|71145877|TM001716|C95043|ACT|399900|20|King St||315||01960|N|25|10/18/2010 3:06:00 PM|33554431|B|3|3|17|0|15|6534|0.15|3329
MF|71148140|FR000011|FR0005|ACT|159900|1216|South Main St.||161||02724|N|3|10/7/2010 6:03:00 PM|7|A|2|3|10|0|2|4269|0.1|3184
MF|71148323|G7000059|AC0639|ACT|209900|176|Blossom Street||455||01420|N|5|10/8/2010 11:47:00 AM|31|A|2|2|11|0|3|5070|0.12|2398
MF|71149317|FR800410|AC0585|ACT|175000|11|Homer St.||156||02740|N|17|7/25/2011 11:05:00 AM|131071|A|2|3|13|0|4|3362|0.08|2326
MF|71150789|G0002872|G95089|ACT|269900|20|Porter Street||372|BLV|01852|N|6|12/6/2011 8:06:00 PM|63|G|2|3|11|2|5|5898|0.14|2396
MF|71150812|CT001989|NB3016|ACT|199000|289|Pine St||161||02720|N|13|10/14/2010 3:05:00 PM|8191|J|3|3|12|0|8|5749|0.13|2150
MF|71151573|FR000005|FR0016|PCG|559000|577|Old Harbor Road||160||02790|N|30|10/20/2010 10:12:00 AM|1073741823|A|2|2|10|2|3|78967.08|1.81|2319
MF|71151803|BB900797|AC1854|ACT|159900|249|Richmond St||173||02718|N|9|10/17/2010 9:13:00 AM|511|F|2|1|9|0|6|16920|0.39|2115
MF|71154526|BB921488|BB9617|ACT|299000|17|Union||117|ONS|02558|N|2|10/23/2010 10:44:00 AM|3|B|3|2|13|0|0|0.07|0|2339
MF|71154540|K8001157|K95638|ACT|70000|27|Cambridge St||401||01603|N|1|10/25/2010 5:31:00 PM|1|B|3|3|15|0|0|5983|0.14|3071
MF|71155573|BB801725|BB7080|ACT|479999|1023|Blue hill avenue||1|002|02124|N|3|10/26/2010 4:38:00 PM|7|B|3|3|18|0|4|4356|0.1|4413
MF|71156318|TEAM0305|M80012|ACT|98900|166|Quincy Street||839|843|01109|N|10|10/28/2010 12:30:00 PM|1023|A|2|3|14|0|1|4177|0.1|2688
MF|71156868|H4385476|H17100|ACT|80000|75|Wallingford Ave||472||01331|U|1|10/29/2010 4:51:00 PM|1|A|2|2|6|0|2|6000|0.14|2592
MF|71156869|H4385476|H17100|ACT|110000|33|Laurel St||472||01331|N|1|11/4/2010 10:01:00 AM|1|A|2|2|10|3|6|7500|0.17|1872
MF|71157928|BB806450|BB8139|ACT|349900|44-46|Sumner St||195|QUC|02169|N|14|4/26/2011 2:48:00 PM|16383|M|4|3|14|0|8|8081|0.18|3318
MF|71158963|C9501039|C90600|ACT|179900|504|Summer St||312|LWE|01905|N|1|11/4/2010 1:18:00 PM|1|B|3|3|12|0|4|2864|0.07|2730
MF|71161191|H7000017|K95521|ACT|219000|24|Sterling Pl||410||01583|N|16|3/25/2011 11:22:00 AM|65535|B|3|2|20|0|8|15021|0.34|3858
MF|71162100|BB904893|BB6640|ACT|449000|29|Howard Street||185||02301|N|1|11/12/2010 6:02:00 PM|1|E|6|3|24|0|8|6098|0.14|6000
MF|71162689|BB903613|AC1338|ACT|134900|56|Gifford Drive||401||01606|N|27|6/9/2011 6:11:00 PM|134217727|A|2|2|9|0|6|5864|0.13|2050
MF|71163326|B9500028|B92101|ACT|479900|47|Webster St||15|MAP|02148|N|28|8/18/2011 3:52:00 PM|268435455|B|3|3|15|2|6|8106|0.19|3656
