PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|71325794|TEAM0227|K95476|ACT|650|50|Valley St|1|421||01562||9|1/24/2012 1:47:00 PM|511|D|5|2|1|0|N|1|22247|452
RN|71325800|A8000508|A95364|ACT|1500|6|Channel Street|0|151|20X|02739||13|1/10/2012 1:19:00 PM|8191|A|5|3|1|1||4|5227|1742
RN|71325811|BB809255|BB5857|ACT|1500|199|Morris|3|2010||02906||7|1/23/2012 9:49:00 AM|127|C|5|2|1|0||2|0|997
RN|71325812|BB923724|BB9617|ACT|825|49|Agawam Lake Shore Dr.|3|117||02571||7|1/10/2012 1:31:00 PM|127|D|1|1|1|0||1|0|0
RN|71325847|G0002769|AC1819|ACT|1340|12|Heritage Drive|varies|316||01970||3|1/10/2012 2:21:00 PM|7|D|5|2|1|0||2|7405000|800
RN|71325896|H9500341|K95580|ACT|675|248|Cross St.|1|465||01440||3|1/15/2012 6:21:00 PM|7|D|4|2|1|0|N|1|9415|900
RN|71325974|NB115268|BB5667|ACT|1500|20|Irma|3|1|002|02124||0|1/10/2012 5:02:00 PM|0|D|5|3|1|0|N|3|6098|1279
RN|71325987|BB808890|BB5427|ACT|1195|763|Truman Highway|5|1||02136||8|2/6/2012 11:44:00 PM|255|D|3|1|1|0|N|1|9999|9999
RN|71326009|BB808103|NB2385|ACT|1300|147|Arlington  Street|2|16|21F|02155||0|1/10/2012 7:52:00 PM|0|D|7|2|1|0|N|0|4000|1400
RN|71326012|C9389414|C95245|ACT|3500|261|E Main St|0|326|EGL|01930||19|1/10/2012 7:56:00 PM|524287|A|8|4|2|1|Y|4|17800|2403
RN|71326018|A8001060|A95599|ACT|875|8|Camp st|1|117|ONS|02571||4|1/10/2012 8:15:00 PM|15|A|4|1|1|0|N|2|0.07|799
RN|71326021|BB809239|NB3520|ACT|1600|382-384|Watertown St|3R|39|NVL|02458||4|1/10/2012 8:29:00 PM|15|D|5|3|1|0||1|6663|1100
RN|71326056|A9500389|A95445|ACT|2200|780|State Road|1|213|MAN|02360||3|1/10/2012 11:27:00 PM|7|A|8|4|2|0|N|6|40000|2000
RN|71326058|CT005566|K95416|ACT|800|40|Watch Street|0|431||01540||12|1/11/2012 12:28:00 AM|4095|D|5|2|1|0|N|2|15862|800
RN|71326071|M9501148|M80012|ACT|1800|46|Plymouth Rd|46|852||01106||18|1/11/2012 6:25:00 AM|262143|A|5|3|1|1|N|4|9548|1226
RN|71326086|K8002205|K95084|ACT|1000|50|Whitcomb|2|432||01570||18|1/11/2012 8:30:00 AM|262143|D|5|3|1|0|N|2|0.18|950
RN|71326125|BB985184|BB533|ACT|950|13|Charleston, RR 310|35|1125||03053||2|1/11/2012 10:46:00 AM|3|D|4|2|1|0|N|2|143748|915
RN|71326162|A8000508|A95364|ACT|1500|8|Harbor Rd. hb|0|151||02739||11|1/11/2012 11:58:00 AM|2047|A|5|2|1|0||3|4792|960
RN|71326173|A0000849|A95066|ACT|1285|4D|Marc Drive|10|213||02360||9|1/11/2012 12:10:00 PM|511|C|5|2|2|0|Y|2|0|986
RN|71326191|J0000307|AC0305|EXT|1350|11|Muscovy Ln|0|119|WYA|02673||12|1/11/2012 12:44:00 PM|4095|A|5|2|1|0|N|1|9583|1128
RN|71326209|BB809841|BB3282|ACT|2400|15|Sargent St|F|13|NCM|02140||17|1/11/2012 1:45:00 PM|131071|B|5|1|2|0|Y|1|999999|1092
RN|71326225|J0000307|AC0305|ACT|900|174|Upper County Road|1-2|105|DPT|02639||7|1/11/2012 1:43:00 PM|127|C|3|1|1|0|N|1|0|625
RN|71326273|C9489733|C77800|ACT|1200|121R|Elm Street|4|318||01945||3|1/11/2012 2:49:00 PM|7|C|4|2|1|0||1|0|800
RN|71326299|BB980121|BB1490|ACT|1899|2|Andrea|1|23||02021||5|1/11/2012 3:20:00 PM|31|B|5|3|1|1|N|6|20000|1500
RN|71326318|M0000474|M39601|ACT|1800|5|Tall Timber Dr|5|855||01095||1|1/11/2012 3:32:00 PM|1|A|8|4|2|1|Y|5|30000|2308
RN|71326353|BB801064|AC0080|ACT|4500|28|Atlantic Avenue|332|1|106|02110||9|3/29/2012 9:23:00 AM|511|C|4|2|1|0|N|0|999999|1117
RN|71326373|BB301894|BB2445|ACT|1750|18-1|CONCORD GREENE|18-1|62||01742||2|1/11/2012 4:30:00 PM|3|C|5|2|2|0|Y|2|0|1097
RN|71326541|BB902368|BB9860|ACT|1995|112|Marlboro Rd|1|407||01772||1|1/17/2012 7:53:00 AM|1|A|7|4|1|1|N|6|12197|1550
